timestamp,SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
2017-01-18 12:00:00,18-Jan-2017,30.50,44766.33,46573.67,41119.25,658.25,4781.00,1141.83,11503.00,11.17,7.25,-530.83,0.00,-297.25,-3.08,79.00,0.00,,
2017-01-18 18:00:00,18-Jan-2017,42.50,41228.58,42842.33,37885.50,561.75,4781.00,0.00,11503.00,0.00,38.00,-633.17,0.00,974.42,-164.42,61.83,0.00,,
2017-01-19 00:00:00,19-Jan-2017,6.50,29493.75,32751.17,27237.67,551.75,4781.00,0.00,11503.00,0.00,1636.33,-1021.08,0.00,924.83,290.33,495.08,0.00,,
2017-01-19 06:00:00,19-Jan-2017,18.50,42556.33,44957.08,39094.75,486.58,4781.00,924.92,11503.00,0.00,46.08,-1021.83,0.00,-668.17,62.17,161.08,0.00,,
2017-01-19 12:00:00,19-Jan-2017,30.50,44721.50,47129.75,40774.92,484.58,4781.00,1252.50,11503.00,12.83,7.92,-937.42,0.00,-258.83,-192.08,-210.00,0.00,,
2017-01-19 18:00:00,19-Jan-2017,42.50,41384.33,43396.83,37723.00,473.17,4781.00,0.00,11503.00,0.67,16.58,-937.67,0.00,999.75,-229.58,-185.75,0.00,,
2017-01-20 00:00:00,20-Jan-2017,6.50,30029.67,33294.33,27350.67,463.83,4781.00,0.00,11503.00,0.00,1643.33,-1021.33,0.00,931.92,294.42,456.92,0.00,,
2017-01-20 06:00:00,20-Jan-2017,18.50,42260.83,44440.67,38301.00,543.92,4781.00,1620.00,11503.00,82.75,40.50,-1021.92,0.00,-450.00,-21.25,90.42,0.00,,
2017-01-20 12:00:00,20-Jan-2017,30.50,42897.75,45106.08,38719.92,607.50,4781.00,2145.92,11503.00,0.00,5.58,-1021.75,0.00,-96.92,-179.58,-152.75,0.00,,
2017-01-20 18:00:00,20-Jan-2017,42.50,40151.58,42107.25,36491.08,800.25,4781.00,0.00,11503.00,0.00,25.25,-1020.92,0.00,999.83,-163.08,-9.08,0.00,,
2017-01-21 00:00:00,21-Jan-2017,6.50,28713.92,32011.58,26157.00,808.08,4781.00,0.00,11503.00,0.00,1676.75,-1020.92,0.00,998.67,293.25,489.58,0.00,,
2017-01-21 06:00:00,21-Jan-2017,18.50,36339.33,37964.17,33018.58,745.92,4781.00,1022.67,11503.00,90.25,72.33,-1020.92,0.00,1010.58,123.08,260.58,0.00,,
2017-01-21 12:00:00,21-Jan-2017,30.50,40919.58,42406.42,37180.75,717.67,4781.00,1134.67,11503.00,26.75,7.58,-562.17,0.00,959.83,-87.17,-107.67,0.00,,
2017-01-21 18:00:00,21-Jan-2017,42.50,38741.25,40454.25,35114.33,530.33,4781.00,0.00,11503.00,8.17,7.25,-662.33,0.00,1008.08,-189.17,-115.83,0.00,,
2017-01-22 00:00:00,22-Jan-2017,6.50,28797.25,31495.92,26021.08,446.67,4781.00,0.00,11503.00,0.00,1124.08,-974.58,0.00,1009.83,249.83,405.00,0.00,,
2017-01-22 06:00:00,22-Jan-2017,18.50,34230.25,36038.00,30940.00,419.92,4781.00,1071.58,11503.00,0.00,301.50,-881.75,0.00,996.17,189.50,238.33,0.00,,
2017-01-22 12:00:00,22-Jan-2017,30.50,41555.42,42984.08,37479.58,440.08,4781.00,1285.50,11503.00,40.75,11.33,-480.67,0.00,947.92,-133.08,-17.00,0.00,,
2017-01-22 18:00:00,22-Jan-2017,42.50,39110.83,40740.75,35414.92,386.00,4781.00,0.00,11503.00,38.33,23.67,-601.67,0.00,985.92,-208.17,-72.08,0.00,,
2017-01-23 00:00:00,23-Jan-2017,6.50,29466.17,32625.25,26767.50,362.92,4781.00,0.00,11503.00,0.00,1537.25,-1021.83,0.00,986.17,153.00,380.83,0.00,,
